title,authors,published_date,description
Fundamentals of Data Engineering,"Joe Reis, Matt Housley",2022-06-22,"Data engineering has grown rapidly in the past decade, leaving many software engineers, data scientists, and analysts looking for a comprehensive view of this practice. With this practical book, you'll learn how to plan and build systems to serve the needs of your organization and customers by evaluating the best technologies available through the framework of the data engineering lifecycle. Authors Joe Reis and Matt Housley walk you through the data engineering lifecycle and show you how to stitch together a variety of cloud technologies to serve the needs of downstream data consumers. You'll understand how to apply the concepts of data generation, ingestion, orchestration, transformation, storage, and governance that are critical in any data environment regardless of the underlying technology. This book will help you: Get a concise overview of the entire data engineering landscape Assess data engineering problems using an end-to-end framework of best practices Cut through marketing hype when choosing data technologies, architecture, and processes Use the data engineering lifecycle to design and build a robust architecture Incorporate data governance and security across the data engineering lifecycle"
Azure Data Engineering Cookbook,"Nagaraj Venkatesan, Ahmad Osama",2022-09-26,"Nearly 80 recipes to help you collect and transform data from multiple sources into a single data source, making it way easier to perform analytics on the data Key FeaturesBuild data pipelines from scratch and find solutions to common data engineering problemsLearn how to work with Azure Data Factory, Data Lake, Databricks, and Synapse AnalyticsMonitor and maintain your data engineering pipelines using Log Analytics, Azure Monitor, and Azure PurviewBook Description The famous quote 'Data is the new oil' seems more true every day as the key to most organizations' long-term success lies in extracting insights from raw data. One of the major challenges organizations face in leveraging value out of data is building performant data engineering pipelines for data visualization, ingestion, storage, and processing. This second edition of the immensely successful book by Ahmad Osama brings to you several recent enhancements in Azure data engineering and shares approximately 80 useful recipes covering common scenarios in building data engineering pipelines in Microsoft Azure. You'll explore recipes from Azure Synapse Analytics workspaces Gen 2 and get to grips with Synapse Spark pools, SQL Serverless pools, Synapse integration pipelines, and Synapse data flows. You'll also understand Synapse SQL Pool optimization techniques in this second edition. Besides Synapse enhancements, you'll discover helpful tips on managing Azure SQL Database and learn about security, high availability, and performance monitoring. Finally, the book takes you through overall data engineering pipeline management, focusing on monitoring using Log Analytics and tracking data lineage using Azure Purview. By the end of this book, you'll be able to build superior data engineering pipelines along with having an invaluable go-to guide. What you will learnProcess data using Azure Databricks and Azure Synapse AnalyticsPerform data transformation using Azure Synapse data flowsPerform common administrative tasks in Azure SQL DatabaseBuild effective Synapse SQL pools which can be consumed by Power BIMonitor Synapse SQL and Spark pools using Log AnalyticsTrack data lineage using Microsoft Purview integration with pipelinesWho this book is for This book is for data engineers, data architects, database administrators, and data professionals who want to get well versed with the Azure data services for building data pipelines. Basic understanding of cloud and data engineering concepts will help in getting the most out of this book."
Data Engineering with dbt,Roberto Zagni,2023-06-30,"Use easy-to-apply patterns in SQL and Python to adopt modern analytics engineering to build agile platforms with dbt that are well-tested and simple to extend and run Purchase of the print or Kindle book includes a free PDF eBook Key Features Build a solid dbt base and learn data modeling and the modern data stack to become an analytics engineer Build automated and reliable pipelines to deploy, test, run, and monitor ELTs with dbt Cloud Guided dbt + Snowflake project to build a pattern-based architecture that delivers reliable datasets Book Descriptiondbt Cloud helps professional analytics engineers automate the application of powerful and proven patterns to transform data from ingestion to delivery, enabling real DataOps. This book begins by introducing you to dbt and its role in the data stack, along with how it uses simple SQL to build your data platform, helping you and your team work better together. You’ll find out how to leverage data modeling, data quality, master data management, and more to build a simple-to-understand and future-proof solution. As you advance, you’ll explore the modern data stack, understand how data-related careers are changing, and see how dbt enables this transition into the emerging role of an analytics engineer. The chapters help you build a sample project using the free version of dbt Cloud, Snowflake, and GitHub to create a professional DevOps setup with continuous integration, automated deployment, ELT run, scheduling, and monitoring, solving practical cases you encounter in your daily work. By the end of this dbt book, you’ll be able to build an end-to-end pragmatic data platform by ingesting data exported from your source systems, coding the needed transformations, including master data and the desired business rules, and building well-formed dimensional models or wide tables that’ll enable you to build reports with the BI tool of your choice.What you will learn Create a dbt Cloud account and understand the ELT workflow Combine Snowflake and dbt for building modern data engineering pipelines Use SQL to transform raw data into usable data, and test its accuracy Write dbt macros and use Jinja to apply software engineering principles Test data and transformations to ensure reliability and data quality Build a lightweight pragmatic data platform using proven patterns Write easy-to-maintain idempotent code using dbt materialization Who this book is for This book is for data engineers, analytics engineers, BI professionals, and data analysts who want to learn how to build simple, futureproof, and maintainable data platforms in an agile way. Project managers, data team managers, and decision makers looking to understand the importance of building a data platform and foster a culture of high-performing data teams will also find this book useful. Basic knowledge of SQL and data modeling will help you get the most out of the many layers of this book. The book also includes primers on many data-related subjects to help juniors get started."
Model and Data Engineering,"Ladjel Bellatreche, Óscar Pastor, Jesús M. Almendros Jiménez, Yamine Aït-Ameur",2016-09-06,"This book constitutes the refereed proceedings of the 6th International Conference on Model and Data Engineering, MEDI 2016, held in Almería, Spain, in September 2016. The 17 full papers and 10 short papers presented together with 2 invited talks were carefully reviewed and selected from 62 submissions. The papers range on a wide spectrum covering fundamental contributions, applications and tool developments and improvements in model and data engineering activities."
Data Engineering Best Practices,"Richard J. Schiller, David Larochelle",2024-10-11,"Explore modern data engineering techniques and best practices to build scalable, efficient, and future-proof data processing systems across cloud platforms Key Features Architect and engineer optimized data solutions in the cloud with best practices for performance and cost-effectiveness Explore design patterns and use cases to balance roles, technology choices, and processes for a future-proof design Learn from experts to avoid common pitfalls in data engineering projects Purchase of the print or Kindle book includes a free PDF eBook Book DescriptionRevolutionize your approach to data processing in the fast-paced business landscape with this essential guide to data engineering. Discover the power of scalable, efficient, and secure data solutions through expert guidance on data engineering principles and techniques. Written by two industry experts with over 60 years of combined experience, it offers deep insights into best practices, architecture, agile processes, and cloud-based pipelines. You’ll start by defining the challenges data engineers face and understand how this agile and future-proof comprehensive data solution architecture addresses them. As you explore the extensive toolkit, mastering the capabilities of various instruments, you’ll gain the knowledge needed for independent research. Covering everything you need, right from data engineering fundamentals, the guide uses real-world examples to illustrate potential solutions. It elevates your skills to architect scalable data systems, implement agile development processes, and design cloud-based data pipelines. The book further equips you with the knowledge to harness serverless computing and microservices to build resilient data applications. By the end, you'll be armed with the expertise to design and deliver high-performance data engineering solutions that are not only robust, efficient, and secure but also future-ready.What you will learn Architect scalable data solutions within a well-architected framework Implement agile software development processes tailored to your organization's needs Design cloud-based data pipelines for analytics, machine learning, and AI-ready data products Optimize data engineering capabilities to ensure performance and long-term business value Apply best practices for data security, privacy, and compliance Harness serverless computing and microservices to build resilient, scalable, and trustworthy data pipelines Who this book is for If you are a data engineer, ETL developer, or big data engineer who wants to master the principles and techniques of data engineering, this book is for you. A basic understanding of data engineering concepts, ETL processes, and big data technologies is expected. This book is also for professionals who want to explore advanced data engineering practices, including scalable data solutions, agile software development, and cloud-based data processing pipelines."
Data Engineering and Management,"Rajkumar Kannan, Frederic Andres",2012-01-16,"This book constitutes the thoroughly refereed post-conference proceedings of the Second International Conference on Data Engineering and Management, ICDEM 2010, held in Tiruchirappalli, India, in July 2010. The 46 revised full papers presented together with 1 keynote paper and 2 tutorial papers were carefully reviewed and selected from numerous submissions. The papers are organized in topical sections on Digital Library; Knowledge and Mulsemedia; Data Management and Knowledge Extraction; Natural Language Processing; Workshop on Data Mining with Graphs and Matrices."
Data Engineering for AI/ML Pipelines,"Venkata Karthik Penikalapati, Mitesh Mangaonkar",2024-10-18,"DESCRIPTION Data engineering is the art of building and managing data pipelines that enable efficient data flow for AI/ML projects. This book serves as a comprehensive guide to data engineering for AI/ML systems, equipping you with the knowledge and skills to create robust and scalable data infrastructure. This book covers everything from foundational concepts to advanced techniques. It begins by introducing the role of data engineering in AI/ML, followed by exploring the lifecycle of data, from data generation and collection to storage and management. Readers will learn how to design robust data pipelines, transform data, and deploy AI/ML models effectively for real-world applications. The book also explains security, privacy, and compliance, ensuring responsible data management. Finally, it explores future trends, including automation, real-time data processing, and advanced architectures, providing a forward-looking perspective on the evolution of data engineering. By the end of this book, you will have a deep understanding of the principles and practices of data engineering for AI/ML. You will be able to design and implement efficient data pipelines, select appropriate technologies, ensure data quality and security, and leverage data for building successful AI/ML models. KEY FEATURES ● Comprehensive guide to building scalable AI/ML data engineering pipelines. ● Practical insights into data collection, storage, processing, and analysis. ● Emphasis on data security, privacy, and emerging trends in AI/ML. WHAT YOU WILL LEARN ● Architect scalable data solutions for AI/ML-driven applications. ● Design and implement efficient data pipelines for machine learning. ● Ensure data security and privacy in AI/ML systems. ● Leverage emerging technologies in data engineering for AI/ML. ● Optimize data transformation processes for enhanced model performance. WHO THIS BOOK IS FOR This book is ideal for software engineers, ML practitioners, IT professionals, and students wanting to master data pipelines for AI/ML. It is also valuable for developers and system architects aiming to expand their knowledge of data-driven technologies. TABLE OF CONTENTS 1. Introduction to Data Engineering for AI/ML 2. Lifecycle of AI/ML Data Engineering 3. Architecting Data Solutions for AI/ML 4. Technology Selection in AI/ML Data Engineering 5. Data Generation and Collection for AI/ML 6. Data Storage and Management in AI/ML 7. Data Ingestion and Preparation for ML 8. Transforming and Processing Data for AI/ML 9. Model Deployment and Data Serving 10. Security and Privacy in AI/ML Data Engineering 11. Emerging Trends and Future Direction"
Artificial Intelligence and Multimedia Data Engineering,"Suman Kumar Swarnkar, Sapna Singh Kshatri, Virendra Kumar Swarnkar, Tien Anh Tran",2023-12-15,"This book explains different applications of supervised and unsupervised data engineering for working with multimedia objects. Throughout this book, the contributors highlight the use of Artificial Intelligence-based soft computing and machine techniques in the field of medical diagnosis, biometrics, networking, automation in vehicle manufacturing, data science and automation in electronics industries. The book presents seven chapters which present use-cases for AI engineering that can be applied in many fields. The book concludes with a final chapter that summarizes emerging AI trends in intelligent and interactive multimedia systems. Key features: - A concise yet diverse range of AI applications for multimedia data engineering - Covers both supervised and unsupervised machine learning techniques - Summarizes emerging AI trends in data engineering - Simple structured chapters for quick reference and easy understanding - References for advanced readers This book is a primary reference for data science and engineering students, researchers and academicians who need a quick and practical understanding of AI supplications in multimedia analysis for undertaking or designing courses. It also serves as a secondary reference for IT and AI engineers and enthusiasts who want to grasp advanced applications of the basic machine learning techniques in everyday applications"
Model and Data Engineering,"Christian Attiogbé, Sadok Ben Yahia",2021-06-14,"This book constitutes the refereed proceedings of the 10th International Conference on Model and Data Engineering, MEDI 2021, held in Tallinn, Estonia, in June 2021. The 16 full papers and 8 short papers presented in this book were carefully reviewed and selected from 47 submissions. Additionally, the volume includes 3 abstracts of invited talks. The papers cover broad research areas on both theoretical, systems and practical aspects. Some papers include mining complex databases, concurrent systems, machine learning, swarm optimization, query processing, semantic web, graph databases, formal methods, model-driven engineering, blockchain, cyber physical systems, IoT applications, and smart systems. Due to the Corona pandemic the conference was held virtually."
Data Engineering with Databricks Cookbook,Pulkit Chadha,2024-05-31,"Work through 70 recipes for implementing reliable data pipelines with Apache Spark, optimally store and process structured and unstructured data in Delta Lake, and use Databricks to orchestrate and govern your data Key Features Learn data ingestion, data transformation, and data management techniques using Apache Spark and Delta Lake Gain practical guidance on using Delta Lake tables and orchestrating data pipelines Implement reliable DataOps and DevOps practices, and enforce data governance policies on Databricks Purchase of the print or Kindle book includes a free PDF eBook Book DescriptionWritten by a Senior Solutions Architect at Databricks, Data Engineering with Databricks Cookbook will show you how to effectively use Apache Spark, Delta Lake, and Databricks for data engineering, starting with comprehensive introduction to data ingestion and loading with Apache Spark. What makes this book unique is its recipe-based approach, which will help you put your knowledge to use straight away and tackle common problems. You’ll be introduced to various data manipulation and data transformation solutions that can be applied to data, find out how to manage and optimize Delta tables, and get to grips with ingesting and processing streaming data. The book will also show you how to improve the performance problems of Apache Spark apps and Delta Lake. Advanced recipes later in the book will teach you how to use Databricks to implement DataOps and DevOps practices, as well as how to orchestrate and schedule data pipelines using Databricks Workflows. You’ll also go through the full process of setup and configuration of the Unity Catalog for data governance. By the end of this book, you’ll be well-versed in building reliable and scalable data pipelines using modern data engineering technologies.What you will learn Perform data loading, ingestion, and processing with Apache Spark Discover data transformation techniques and custom user-defined functions (UDFs) in Apache Spark Manage and optimize Delta tables with Apache Spark and Delta Lake APIs Use Spark Structured Streaming for real-time data processing Optimize Apache Spark application and Delta table query performance Implement DataOps and DevOps practices on Databricks Orchestrate data pipelines with Delta Live Tables and Databricks Workflows Implement data governance policies with Unity Catalog Who this book is for This book is for data engineers, data scientists, and data practitioners who want to learn how to build efficient and scalable data pipelines using Apache Spark, Delta Lake, and Databricks. To get the most out of this book, you should have basic knowledge of data architecture, SQL, and Python programming."
